quiz_title,score,max_score,date_attempted
flags 1,1.0,2,2025-07-28 18:27:41
12 35 quiz,1.0,1,2025-07-29 07:05:56
flags 1,2.0,2,2025-07-29 14:20:13
Matrices,1.0,3,2025-07-29 14:24:09
flags 1,0.0,2,2025-07-30 13:47:49
Country shape quiz 1,5.0,5,2025-07-30 14:30:43
Country shape quiz 1,1.0,5,2025-07-30 14:31:52
Percentages Quiz 1,8.0,10,2025-07-30 14:34:01
12 35 quiz,1.0,1,2025-07-30 19:47:33
